"Country","GDP growth (annual %)","Rank","Year"
"Equatorial Guinea","18.21","1","2000"
"Cabo Verde","14.28","2","2000"
"Myanmar","13.74","3","2000"
"Belize","13.01","4","2000"
"Azerbaijan","11.09","5","2000"
"United Arab Emirates (the)","10.85","6","2000"
"Comoros (the)","10.84","7","2000"
"Cambodia","10.71","8","2000"
"Estonia","10.1","9","2000"
"Russian Federation (the)","10","10","2000"
"Saint Kitts and Nevis","9.98","11","2000"
"Kazakhstan","9.8","12","2000"
"Ireland","9.44","13","2000"
"Korea (the Republic of)","9.06","14","2000"
"Singapore","9.03","15","2000"
"Malaysia","8.85","16","2000"
"China","8.49","17","2000"
"Rwanda","8.37","18","2000"
"Tajikistan","8.32","19","2000"
"Luxembourg","8.23","20","2000"
"Mauritius","8.2","21","2000"
"Congo (the)","7.57","22","2000"
"Israel","7.45","23","2000"
"Honduras","7.29","24","2000"
"Albania","6.95","25","2000"
"Turkey","6.93","26","2000"
"Bhutan","6.93","27","2000"
"Samoa","6.91","28","2000"
"Trinidad and Tobago","6.9","29","2000"
"Viet Nam","6.78","30","2000"
"Malta","6.77","31","2000"
"Sierra Leone","6.65","32","2000"
"Oman","6.55","33","2000"
"Egypt","6.37","34","2000"
"Sudan (the)","6.34","35","2000"
"Kiribati","6.25","36","2000"
"Antigua and Barbuda","6.2","37","2000"
"Nepal","6.19","38","2000"
"Yemen","6.18","39","2000"
"Serbia","6.13","40","2000"
"Ethiopia","6.07","41","2000"
"Sri Lanka","6","42","2000"
"Cyprus","5.96","43","2000"
"Vanuatu","5.92","44","2000"
"Cuba","5.91","45","2000"
"Armenia","5.9","46","2000"
"Ukraine","5.89","47","2000"
"Iran (Islamic Republic of)","5.85","48","2000"
"Benin","5.85","49","2000"
"Belarus","5.8","50","2000"
"Lao People's Democratic Republic (the)","5.79","51","2000"
"Finland","5.77","52","2000"
"Latvia","5.67","53","2000"
"Saudi Arabia","5.62","54","2000"
"Bosnia and Herzegovina","5.5","55","2000"
"Gambia (the)","5.5","56","2000"
"Turkmenistan","5.46","57","2000"
"Kyrgyzstan","5.44","58","2000"
"Guinea-Bissau","5.42","59","2000"
"Chile","5.32","60","2000"
"Bahrain","5.3","61","2000"
"Bangladesh","5.29","62","2000"
"Spain","5.24","63","2000"
"Nigeria","5.01","64","2000"
"Mexico","4.94","65","2000"
"Indonesia","4.92","66","2000"
"Canada","4.91","67","2000"
"Iceland","4.89","68","2000"
"Grenada","4.88","69","2000"
"Micronesia (Federated States of)","4.83","70","2000"
"Bulgaria","4.78","71","2000"
"Sweden","4.76","72","2000"
"Tunisia","4.7","73","2000"
"Kuwait","4.69","74","2000"
"Dominican Republic (the)","4.66","75","2000"
"Poland","4.56","76","2000"
"North Macedonia","4.54","77","2000"
"Tanzania, the United Republic of","4.52","78","2000"
"Hungary","4.47","79","2000"
"Thailand","4.45","80","2000"
"Madagascar","4.45","81","2000"
"Barbados","4.44","82","2000"
"Philippines (the)","4.41","83","2000"
"Brazil","4.38","84","2000"
"World","4.38","","2000"
"Pakistan","4.26","85","2000"
"Jordan","4.24","86","2000"
"South Africa","4.2","87","2000"
"Netherlands (the)","4.19","88","2000"
"Bahamas (the)","4.14","89","2000"
"United States of America (the)","4.12","90","2000"
"Nicaragua","4.1","91","2000"
"Czechia","4","92","2000"
"Switzerland","3.93","93","2000"
"Australia","3.93","94","2000"
"France","3.92","95","2000"
"Greece","3.91","96","2000"
"Monaco","3.91","97","2000"
"Zambia","3.89","98","2000"
"Lesotho","3.87","99","2000"
"India","3.84","100","2000"
"Maldives","3.84","101","2000"
"Uzbekistan","3.83","102","2000"
"Costa Rica","3.83","103","2000"
"Portugal","3.81","104","2000"
"Algeria","3.8","105","2000"
"Italy","3.78","106","2000"
"Denmark","3.74","107","2000"
"Belgium","3.71","108","2000"
"Ghana","3.7","109","2000"
"Lithuania","3.69","110","2000"
"Venezuela (Bolivarian Republic of)","3.68","111","2000"
"Slovenia","3.67","112","2000"
"Libya","3.67","113","2000"
"Guatemala","3.6","114","2000"
"Cameroon","3.55","115","2000"
"Andorra","3.52","116","2000"
"Namibia","3.49","117","2000"
"United Kingdom","3.43","118","2000"
"Austria","3.37","119","2000"
"Liechtenstein","3.22","120","2000"
"Norway","3.2","121","2000"
"Senegal","3.19","122","2000"
"Uganda","3.14","123","2000"
"Montenegro","3.1","124","2000"
"Angola","3.05","125","2000"
"Colombia","2.92","126","2000"
"Germany","2.91","127","2000"
"New Zealand","2.9","128","2000"
"Croatia","2.86","129","2000"
"Brunei Darussalam","2.84","130","2000"
"Japan","2.77","131","2000"
"Syrian Arab Republic (the)","2.74","132","2000"
"Panama","2.71","133","2000"
"Peru","2.69","134","2000"
"Guinea","2.5","135","2000"
"Bolivia (Plurinational State of)","2.5","136","2000"
"Romania","2.46","137","2000"
"Dominica","2.33","138","2000"
"San Marino","2.17","139","2000"
"Moldova (the Republic of)","2.1","140","2000"
"Suriname","2.09","141","2000"
"Botswana","1.98","142","2000"
"Morocco","1.91","143","2000"
"Burkina Faso","1.88","144","2000"
"Georgia","1.83","145","2000"
"Eswatini","1.76","146","2000"
"Saint Vincent and the Grenadines","1.63","147","2000"
"Malawi","1.57","148","2000"
"Seychelles","1.51","149","2000"
"Iraq","1.4","150","2000"
"Marshall Islands (the)","1.35","151","2000"
"Lebanon","1.34","152","2000"
"Mozambique","1.18","153","2000"
"Slovakia","1.16","154","2000"
"Mongolia","1.14","155","2000"
"El Salvador","1.12","156","2000"
"Ecuador","1.09","157","2000"
"Haiti","0.87","158","2000"
"Jamaica","0.87","159","2000"
"Tonga","0.87","160","2000"
"Kenya","0.59","161","2000"
"Saint Lucia","0.04","162","2000"
"Mali","-0.07","179","2000"
"Togo","-0.79","180","2000"
"Argentina","-0.79","181","2000"
"Burundi","-0.86","182","2000"
"Chad","-0.88","183","2000"
"Tuvalu","-0.98","184","2000"
"Niger (the)","-1.21","185","2000"
"Guyana","-1.37","186","2000"
"Fiji","-1.7","187","2000"
"Gabon","-1.89","188","2000"
"Uruguay","-1.93","189","2000"
"Côte d'Ivoire","-2.07","190","2000"
"Paraguay","-2.32","191","2000"
"Central African Republic (the)","-2.49","192","2000"
"Papua New Guinea","-2.5","193","2000"
"Zimbabwe","-3.06","194","2000"
"Eritrea","-3.15","195","2000"
"Mauritania","-3.92","196","2000"
"Congo (the Democratic Republic of the)","-6.92","197","2000"
"Palestine, State of","-8.56","198","2000"
"Solomon Islands","-14.28","199","2000"
"Holy See (the)","null","163","2000"
"Afghanistan","null","164","2000"
"Taiwan","null","165","2000"
"Korea (the Democratic People's Republic of)","null","166","2000"
"Qatar","null","167","2000"
"Timor-Leste","null","168","2000"
"Liberia","null","169","2000"
"Somalia","null","170","2000"
"South Sudan","null","171","2000"
"Sao Tome and Principe","null","172","2000"
"Djibouti","null","173","2000"
"Bonaire","null","174","2000"
"Curaçao","null","175","2000"
"Sint Maarten (Dutch part)","null","176","2000"
"Nauru","null","177","2000"
"Palau","null","178","2000"
"Faroe Islands","null","200","2000"
"United States Minor Outlying Islands","null","201","2000"
"Serranilla Bank","null","202","2000"
"Scarborough Reef","null","203","2000"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2000"
"Spratly Islands","null","205","2000"
"American Samoa","null","206","2000"
"Greenland","null","207","2000"
"Guam","null","208","2000"
"Northern Mariana Islands","null","209","2000"
"Puerto Rico","null","210","2000"
"United States Virgin Islands","null","211","2000"
"Somaliland","null","212","2000"
"Northern Cyprus","null","213","2000"
"Cyprus No Mans Area","null","214","2000"
"Western Sahara","null","215","2000"
"Siachen Glacier","null","216","2000"
"Kosovo","null","217","2000"
