"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","41.82","1","2009"
"Trinidad and Tobago","33.98","2","2009"
"Kuwait","30.94","3","2009"
"Bahrain","23.81","4","2009"
"United Arab Emirates (the)","21.25","5","2009"
"Luxembourg","20.87","6","2009"
"Brunei Darussalam","20.47","7","2009"
"Australia","18.2","8","2009"
"Saudi Arabia","17.61","9","2009"
"United States of America (the)","17.15","10","2009"
"Canada","15.82","11","2009"
"Oman","14.29","12","2009"
"Kazakhstan","13.25","13","2009"
"Singapore","11.75","14","2009"
"Norway","11.46","15","2009"
"Russian Federation (the)","11.02","16","2009"
"Palau","10.82","17","2009"
"Estonia","10.72","18","2009"
"Netherlands (the)","10.52","19","2009"
"Korea (the Republic of)","10.32","20","2009"
"Czechia","10.31","21","2009"
"Turkmenistan","10.05","22","2009"
"Finland","10","23","2009"
"South Africa","9.96","24","2009"
"Libya","9.45","25","2009"
"Belgium","9.19","26","2009"
"Ireland","8.92","27","2009"
"Germany","8.79","28","2009"
"Japan","8.63","29","2009"
"Israel","8.61","30","2009"
"Greece","8.27","31","2009"
"Denmark","8.05","32","2009"
"Poland","7.8","33","2009"
"Iran (Islamic Republic of)","7.6","34","2009"
"United Kingdom","7.56","35","2009"
"Austria","7.52","36","2009"
"New Zealand","7.52","37","2009"
"Equatorial Guinea","7.51","38","2009"
"Slovenia","7.49","39","2009"
"Cyprus","7.38","40","2009"
"Malaysia","7.17","41","2009"
"Italy","6.79","42","2009"
"Venezuela (Bolivarian Republic of)","6.45","43","2009"
"Iceland","6.44","44","2009"
"Belarus","6.43","45","2009"
"Slovakia","6.31","46","2009"
"Serbia","6.27","47","2009"
"Spain","6.21","48","2009"
"Andorra","6.12","49","2009"
"Malta","6","50","2009"
"Seychelles","6","51","2009"
"Antigua and Barbuda","5.87","52","2009"
"Bulgaria","5.73","53","2009"
"Barbados","5.73","54","2009"
"China","5.67","55","2009"
"Ukraine","5.64","56","2009"
"Bosnia and Herzegovina","5.54","57","2009"
"France","5.43","58","2009"
"Switzerland","5.39","59","2009"
"Portugal","5.12","60","2009"
