"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","206","1","2009"
"Angola","171.28","2","2009"
"Malawi","158.69","3","2009"
"Senegal","149","4","2009"
"Cambodia","147.47","5","2009"
"Zambia","143.52","6","2009"
"Tonga","141.05","7","2009"
"Lithuania","137.15","8","2009"
"Rwanda","135.88","9","2009"
"Uruguay","134.93","10","2009"
"Suriname","133.03","11","2009"
"Cameroon","131.46","12","2009"
"Timor-Leste","130.96","13","2009"
"Afghanistan","130.8","14","2009"
"Kazakhstan","130.68","15","2009"
"Haiti","130.46","16","2009"
"Lao People's Democratic Republic (the)","130.21","17","2009"
"Estonia","128.83","18","2009"
"Mali","128.72","19","2009"
"Sierra Leone","128.68","20","2009"
"Algeria","128.62","21","2009"
"Guatemala","127.59","22","2009"
"Albania","127.54","23","2009"
"Ethiopia","127.43","24","2009"
"Kuwait","126.76","25","2009"
"Myanmar","126.5","26","2009"
"Armenia","126","27","2009"
"Croatia","124.71","28","2009"
"Ghana","124.67","29","2009"
"Gambia (the)","124.59","30","2009"
"Guinea-Bissau","124.53","31","2009"
"Bangladesh","123.07","32","2009"
"Morocco","122.82","33","2009"
"Mozambique","122.62","34","2009"
"Bolivia (Plurinational State of)","122.57","35","2009"
"Niger (the)","121.56","36","2009"
"Madagascar","121.45","37","2009"
"Indonesia","121.04","38","2009"
"Yemen","120.92","39","2009"
"Russian Federation (the)","119.53","40","2009"
"Togo","119.48","41","2009"
"Brazil","118.93","42","2009"
"Ukraine","118.26","43","2009"
"Marshall Islands (the)","117.85","44","2009"
"Peru","117.62","45","2009"
"Uzbekistan","117.17","46","2009"
"China","116.76","47","2009"
"Congo (the)","116.76","48","2009"
"Qatar","116.54","49","2009"
"Ecuador","116.4","50","2009"
"Kiribati","116.31","51","2009"
"Benin","115.84","52","2009"
"Tajikistan","115.54","53","2009"
"Latvia","114.54","54","2009"
"Papua New Guinea","114.15","55","2009"
"New Zealand","113.45","56","2009"
"El Salvador","113.17","57","2009"
"Egypt","113.03","58","2009"
"Nicaragua","113.01","59","2009"
"Nepal","113","60","2009"
"Denmark","112.93","61","2009"
"India","112.82","62","2009"
"Central African Republic (the)","112.64","63","2009"
"Philippines (the)","112.45","64","2009"
"Saint Vincent and the Grenadines","112.23","65","2009"
"Sri Lanka","112.21","66","2009"
"Kenya","112.12","67","2009"
"Belarus","112.09","68","2009"
"Djibouti","111.85","69","2009"
"Tanzania, the United Republic of","111.62","70","2009"
"Viet Nam","111.45","71","2009"
"Thailand","111.31","72","2009"
"Canada","111.06","73","2009"
"Oman","111.01","74","2009"
"Azerbaijan","110.79","75","2009"
"Singapore","110.65","76","2009"
"World","110.58","","2009"
"Guinea","110.12","77","2009"
"Dominican Republic (the)","109.93","78","2009"
"Poland","109.87","79","2009"
"Dominica","109.81","80","2009"
"Honduras","109.75","81","2009"
"Gabon","109.62","82","2009"
"North Macedonia","109.26","83","2009"
"Bahrain","109.18","84","2009"
"Botswana","109.04","85","2009"
"South Africa","109.03","86","2009"
"Pakistan","108.78","87","2009"
"Malaysia","108.71","88","2009"
"Samoa","108.35","89","2009"
"Antigua and Barbuda","108.15","90","2009"
"Finland","108.03","91","2009"
"Sweden","107.95","92","2009"
"Solomon Islands","107.81","93","2009"
"Serbia","107.62","94","2009"
"Kyrgyzstan","107.53","95","2009"
"Switzerland","107.43","96","2009"
"Germany","106.87","97","2009"
"Netherlands (the)","106.71","98","2009"
"Bosnia and Herzegovina","106.57","99","2009"
"Tunisia","106.54","100","2009"
"Comoros (the)","106.45","101","2009"
"United States of America (the)","105.95","102","2009"
"Nauru","105.78","103","2009"
"Equatorial Guinea","105.37","104","2009"
"Sudan (the)","105.34","105","2009"
"Austria","105.31","106","2009"
"Saint Lucia","105.21","107","2009"
"Libya","105.15","108","2009"
"Guyana","104.65","109","2009"
"Tuvalu","104.31","110","2009"
"Jordan","104.28","111","2009"
"Vanuatu","104.15","112","2009"
"Costa Rica","103.65","113","2009"
"Turkey","103.42","114","2009"
"Congo (the Democratic Republic of the)","103.17","115","2009"
"Czechia","103.12","116","2009"
"Burkina Faso","102.98","117","2009"
"United Kingdom","102.7","118","2009"
"Spain","102.31","119","2009"
"Mexico","102.14","120","2009"
"France","102.06","121","2009"
"Bahamas (the)","102.01","122","2009"
"Portugal","101.93","123","2009"
"Mauritania","101.9","124","2009"
"Korea (the Republic of)","101.79","125","2009"
