"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"France","null","1","2020"
"Denmark","null","2","2020"
"Iceland","null","3","2020"
"Norway","null","4","2020"
"Sweden","null","5","2020"
"Finland","null","6","2020"
"Estonia","null","7","2020"
"Latvia","null","8","2020"
"Lithuania","null","9","2020"
"Germany","null","10","2020"
"Austria","null","11","2020"
"Bulgaria","null","12","2020"
"Hungary","null","13","2020"
"Liechtenstein","null","14","2020"
"Romania","null","15","2020"
"Czechia","null","16","2020"
"Slovakia","null","17","2020"
"Bosnia and Herzegovina","null","18","2020"
"Croatia","null","19","2020"
"Montenegro","null","20","2020"
"Serbia","null","21","2020"
"Poland","null","22","2020"
"Russian Federation (the)","null","23","2020"
"Albania","null","24","2020"
"Greece","null","25","2020"
"Italy","null","26","2020"
"San Marino","null","27","2020"
"Holy See (the)","null","28","2020"
"Andorra","null","29","2020"
"Belgium","null","30","2020"
"United Kingdom","null","31","2020"
"Spain","null","32","2020"
"Netherlands (the)","null","33","2020"
"Ireland","null","34","2020"
"Luxembourg","null","35","2020"
"Monaco","null","36","2020"
"Portugal","null","37","2020"
"Switzerland","null","38","2020"
"Malta","null","39","2020"
"Slovenia","null","40","2020"
"Belarus","null","41","2020"
"Moldova (the Republic of)","null","42","2020"
"Ukraine","null","43","2020"
"North Macedonia","null","44","2020"
"Saudi Arabia","null","45","2020"
"Iraq","null","46","2020"
"Iran (Islamic Republic of)","null","47","2020"
"Lebanon","null","48","2020"
"Syrian Arab Republic (the)","null","49","2020"
"Israel","null","50","2020"
"Turkey","null","51","2020"
"Afghanistan","null","52","2020"
"Pakistan","null","53","2020"
"Bhutan","null","54","2020"
"Nepal","null","55","2020"
"China","null","56","2020"
"Japan","null","57","2020"
"Thailand","null","58","2020"
"Philippines (the)","null","59","2020"
"Jordan","null","60","2020"
"India","null","61","2020"
"Myanmar","null","62","2020"
"Brunei Darussalam","null","63","2020"
"Singapore","null","64","2020"
"Malaysia","null","65","2020"
"Maldives","null","66","2020"
"Indonesia","null","67","2020"
"Cambodia","null","68","2020"
"Sri Lanka","null","69","2020"
"Taiwan","null","70","2020"
"Korea (the Democratic People's Republic of)","null","71","2020"
"Korea (the Republic of)","null","72","2020"
"Kuwait","null","73","2020"
"Lao People's Democratic Republic (the)","null","74","2020"
"Mongolia","null","75","2020"
"Viet Nam","null","76","2020"
"Bangladesh","null","77","2020"
"United Arab Emirates (the)","null","78","2020"
"Qatar","null","79","2020"
"Bahrain","null","80","2020"
"Oman","null","81","2020"
"Yemen","null","82","2020"
"Armenia","null","83","2020"
"Azerbaijan","null","84","2020"
"Cyprus","null","85","2020"
"Georgia","null","86","2020"
"Kazakhstan","null","87","2020"
"Kyrgyzstan","null","88","2020"
"Uzbekistan","null","89","2020"
"Tajikistan","null","90","2020"
"Turkmenistan","null","91","2020"
"Palestine, State of","null","92","2020"
"Timor-Leste","null","93","2020"
"Egypt","null","94","2020"
"Liberia","null","95","2020"
"South Africa","null","96","2020"
"Gambia (the)","null","97","2020"
"Tanzania, the United Republic of","null","98","2020"
"Zimbabwe","null","99","2020"
"Namibia","null","100","2020"
"Congo (the Democratic Republic of the)","null","101","2020"
"Equatorial Guinea","null","102","2020"
"Ethiopia","null","103","2020"
"Libya","null","104","2020"
"Eritrea","null","105","2020"
"Somalia","null","106","2020"
"Burundi","null","107","2020"
"Cameroon","null","108","2020"
"Central African Republic (the)","null","109","2020"
"Congo (the)","null","110","2020"
