"Country","GDP growth (annual %)","Rank","Year"
"Mongolia","17.29","1","2011"
"Turkmenistan","14.69","2","2011"
"Zimbabwe","14.19","3","2011"
"Ghana","14.04","4","2011"
"Qatar","13.37","5","2011"
"Panama","11.31","6","2011"
"Turkey","11.2","7","2011"
"Ethiopia","11.17","8","2011"
"Nauru","10","9","2011"
"Saudi Arabia","9.99","10","2011"
"Kuwait","9.62","11","2011"
"Palestine, State of","9.6","12","2011"
"China","9.55","13","2011"
"Uganda","9.39","14","2011"
"Eritrea","8.67","15","2011"
"Maldives","8.56","16","2011"
"Sri Lanka","8.4","17","2011"
"Liberia","8.2","18","2011"
"Guinea-Bissau","8.08","19","2011"
"Lao People's Democratic Republic (the)","8.03","20","2011"
"Bhutan","7.98","21","2011"
"Rwanda","7.95","22","2011"
"Seychelles","7.88","23","2011"
"Ecuador","7.86","24","2011"
"Uzbekistan","7.78","25","2011"
"Tanzania, the United Republic of","7.67","26","2011"
"Iraq","7.54","27","2011"
"Tuvalu","7.51","28","2011"
"Estonia","7.44","29","2011"
"Mozambique","7.41","30","2011"
"Kazakhstan","7.4","31","2011"
"Tajikistan","7.4","32","2011"
"Georgia","7.39","33","2011"
"Solomon Islands","7.27","34","2011"
"Gabon","7.09","35","2011"
"Cambodia","7.06","36","2011"
"Monaco","7","37","2011"
"Colombia","6.94","38","2011"
"United Arab Emirates (the)","6.93","39","2011"
"Congo (the Democratic Republic of the)","6.87","40","2011"
"Tonga","6.81","41","2011"
"Palau","6.68","42","2011"
"Burkina Faso","6.62","43","2011"
"Equatorial Guinea","6.52","44","2011"
"Latvia","6.46","45","2011"
"Bangladesh","6.46","46","2011"
"Togo","6.39","47","2011"
"Singapore","6.33","48","2011"
"Peru","6.32","49","2011"
"Sierra Leone","6.31","50","2011"
"Nicaragua","6.31","51","2011"
"Viet Nam","6.24","52","2011"
"Indonesia","6.16","53","2011"
"Haiti","6.15","54","2011"
"Chile","6.11","55","2011"
"Kenya","6.1","56","2011"
"Botswana","6.04","57","2011"
"Lithuania","6.03","58","2011"
"Argentina","6","59","2011"
"Kyrgyzstan","5.95","60","2011"
"Suriname","5.84","61","2011"
"Moldova (the Republic of)","5.81","62","2011"
"Timor-Leste","5.8","63","2011"
"Guinea","5.61","64","2011"
"Myanmar","5.59","65","2011"
"Zambia","5.56","66","2011"
"Saint Lucia","5.48","67","2011"
"Ukraine","5.46","68","2011"
